threshold,precision,recall,f1,specificity,tp,tn,fp,fn
0.72,0.7941176470588235,0.004530961570733344,0.00901051226430836,0.9997544548898555,27,28501,7,5932
0.73,0.7941176470588235,0.004530961570733344,0.00901051226430836,0.9997544548898555,27,28501,7,5932
0.74,0.7941176470588235,0.004530961570733344,0.00901051226430836,0.9997544548898555,27,28501,7,5932
0.75,0.7941176470588235,0.004530961570733344,0.00901051226430836,0.9997544548898555,27,28501,7,5932
0.76,0.8,0.004027521396207418,0.008014693604942395,0.9997895327627333,24,28502,6,5935
0.77,0.8,0.004027521396207418,0.008014693604942395,0.9997895327627333,24,28502,6,5935
0.78,0.8,0.004027521396207418,0.008014693604942395,0.9997895327627333,24,28502,6,5935
0.79,0.8,0.004027521396207418,0.008014693604942395,0.9997895327627333,24,28502,6,5935
0.8,0.8,0.004027521396207418,0.008014693604942395,0.9997895327627333,24,28502,6,5935
0.81,0.0,0.0,0.0,1.0,0,28508,0,5959
0.82,0.0,0.0,0.0,1.0,0,28508,0,5959
0.83,0.0,0.0,0.0,1.0,0,28508,0,5959
0.84,0.0,0.0,0.0,1.0,0,28508,0,5959
0.85,0.0,0.0,0.0,1.0,0,28508,0,5959
0.86,0.0,0.0,0.0,1.0,0,28508,0,5959
0.87,0.0,0.0,0.0,1.0,0,28508,0,5959
0.88,0.0,0.0,0.0,1.0,0,28508,0,5959
0.89,0.0,0.0,0.0,1.0,0,28508,0,5959
0.9,0.0,0.0,0.0,1.0,0,28508,0,5959
0.91,0.0,0.0,0.0,1.0,0,28508,0,5959
0.92,0.0,0.0,0.0,1.0,0,28508,0,5959
0.93,0.0,0.0,0.0,1.0,0,28508,0,5959
0.94,0.0,0.0,0.0,1.0,0,28508,0,5959
0.95,0.0,0.0,0.0,1.0,0,28508,0,5959
